吖啶,ading
芥子气,jieziqi
藉,jie
藉此,jieci
藉口,jiekou
藉其,jieqi
藉由教而学,jieyoujiaoerxue
褯,jie
诫,jie
诫命,jieming
价,jie
今,jin
今川义元,jinchuanyiyuan
今村昌平,jincunchangping
今后,jinhou
今后,jinhou
今年,jinnian
今日,jinri
今日美国,jinrimeiguo
今天,jintian
今天晚上,jintianwanshang
今天下了雨,jintianxialiaoyu
今天下午,jintianxiawu
今晚,jinwan
今夜,jinye
今伊拉克所在地,jinyilakesuozaidi
今朝,jinzhao
今朝有酒今朝醉,jinzhaoyoujiujinzhaozui
巾,jin
巾帼英雄,jinguoyingxiong
斤,jin
斤斤计较,jinjinjijiao
斤两,jinliang
津,jin
津巴布韦,jinbabuwei
津巴布韦共和国,jinbabuweigongheguo
津市,jinshi
津贴,jintie
矜,jin
禁,jin
筋,jin
筋斗,jindou
筋疲力竭,jinpilijie
筋疲力尽,jinpilijin
襟怀坦白,jinhuaitanbai
觔,jin
近乎同步数位阶层,jinhutongbushuweijieceng
金,jin
金保斯,jinbaosi
金本位,jinbenwei
金币,jinbi
金碧辉煌,jinbihuihuang
金碧辉煌的东西,jinbihuihuangdedongxi
金边,jinbian
金箔,jinbo
金不换,jinbuhuan
金草莓奖,jincaomeijiang
金昌,jinchang
金朝,jinchao
金城武,jinchengwu
金城镇,jinchengzhen
金翅雀,jinchique
金川,jinchuan
金春秋,jinchunqiu
金大中,jindazhong
金雕,jindiao
金锭,jinding
金犊,jindu
金额,jine
金发,jinfa
金发女郎,jinfanvlang
金饭碗,jinfanwan
金峰乡,jinfengxiang
金凤男,jinfengnan
金刚,jingang
金刚般若波罗蜜经,jingangboreboluomijing
金刚乘,jingangcheng
金刚杵,jingangchu
金刚经,jingangjing
金刚山,jingangshan
金刚石,jingangshi
金刚烷,jingangwan
金刚鹦鹉,jingangyingwu
金刚鹦鹉属,jingangyingwushu
金钩菜心,jingoucaixin
金钩冬瓜,jingoudonggua
金光闪烁,jinguangshanshuo
金龟子,jinguizi
金海市,jinhaishi
金含量,jinhanliang
金合欢,jinhehuan
金合欢属,jinhehuanshu
金合金,jinhejin
金红石,jinhongshi
金湖,jinhu
金湖镇,jinhuzhen
金虎尾目,jinhuweimu
金华,jinhua
金华地区,jinhuadiqu
金华市,jinhuashi
金黄,jinhuang
金黄葡萄球菌,jinhuangputaoqiujun
金黄色,jinhuangse
金黄色葡萄菌,jinhuangseputaojun
金黄色葡萄球菌,jinhuangseputaoqiujun
金灰色,jinhuise
金基德,jinjide
金匠,jinjiang
金桔,jinju
金橘,jinju
金凯特罗,jinkaiteluo
金坎贝尔,jinkanbeier
金克兰茨,jinkelanci
金口河区,jinkouhequ
金库,jinku
金块,jinkuai
金矿,jinkuang
金眶鸻,jinkuangheng
金兰湾军事基地,jinlanwanjunshijidi
金缕梅科,jinlvmeike
金莲花,jinlianhua
金领,jinling
金炉床,jinluchuang
金马仑高原,jinmalungaoyuan
金曼礁,jinmanjiao
金毛寻回犬,jinmaoxunhuiquan
金茂,jinmao
金茂大厦,jinmaodasha
金门,jinmen
金门大桥,jinmendaqiao
金门海峡,jinmenhaixia
金门县,jinmenxian
金米片,jinmipian
金奈,jinnai
金妮卫斯理,jinniweisili
金宁乡,jinningxiang
金钮扣,jinniukou
金农,jinnong
金瓯,jinou
金牌,jinpai
金瓶梅,jinpingmei
金钱,jinqian
金钱的时间价值,jinqiandeshijianjiazhi
金钱方面,jinqianfangmian
金钱上,jinqianshang
金钱万能,jinqianwanneng
金枪鱼,jinqiangyu
金球奖,jinqiujiang
金人庆,jinrenqing
金日成,jinricheng
金融,jinrong
金融风波,jinrongfengbo
金融服务,jinrongfuwu
金融服务业,jinrongfuwuye
金融改革,jinronggaige
金融工具,jinronggongju
金融机构,jinrongjigou
金融家,jinrongjia
金融界人物,jinrongjierenwu
金融期货,jinrongqihuo
金融时报,jinrongshibao
金融市场,jinrongshichang
金融市场工具,jinrongshichanggongju
金融市场利率,jinrongshichanglilv
金融危机,jinrongweiji
金融系统,jinrongxitong
金融学,jinrongxue
金融灾难金融困难,jinrongzainanjinrongkunnan
金融债务,jinrongzhaiwu
金融政策,jinrongzhengce
金融支持,jinrongzhichi
金融制度,jinrongzhidu
金融专家,jinrongzhuanjia
金三角,jinsanjiao
金色,jinse
金色大厅,jinsedating
金色降落伞,jinsejiangluosan
金沙,jinsha
金沙萨,jinshasa
金沙遗址,jinshayizhi
金沙镇,jinshazhen
金莎朱古力,jinshazhuguli
金山,jinshan
金山区,jinshanqu
金山乡,jinshanxiang
金圣歎,jinshengtan
金属,jinshu
金属板,jinshuban
金属箔,jinshubo
金属薄片,jinshubopian
金属材料,jinshucailiao
金属盖板,jinshugaiban
金属工业,jinshugongye
金属构件,jinshugoujian
金属箍,jinshugu
金属关税谈判,jinshuguanshuitanpan
金属管,jinshuguan
金属盒,jinshuhe
金属基复合材料,jinshujifuhecailiao
金属加工,jinshujiagong
金属加工工人,jinshujiagonggongren
金属加工术,jinshujiagongshu
金属键,jinshujian
金属交易所,jinshujiaoyisuo
金属扣眼,jinshukouyan
金属矿,jinshukuang
金属盘,jinshupan
金属配件,jinshupeijian
金属片,jinshupian
金属探测器,jinshutanceqi
金属线,jinshuxian
金属阳极,jinshuyangji
金属铀,jinshuyou
金属乐队,jinshuyuedui
金属制,jinshuzhi
金属制品,jinshuzhipin
金属制造,jinshuzhizao
金属状,jinshuzhuang
金属组织学,jinshuzuzhixue
金斯敦,jinsidun
金丝雀,jinsique
金丝桃科,jinsitaoke
金丝燕属,jinsiyanshu
金酸莓奖,jinsuanmeijiang
金塔,jinta
金塔纳罗奥州,jintanaluoaozhou
金坛,jintan
金堂,jintang
金田一耕助,jintianyigengzhu
金条,jintiao
金文,jinwen
金溪,jinxi
金喜善,jinxishan
金夏沙,jinxiasha
金县,jinxian
金乡,jinxiang
金相,jinxiang
金相学,jinxiangxue
金心,jinxin
金星,jinxing
金星符号,jinxingfuhao
金星快车,jinxingkuaiche
金星凌日,jinxinglingri
金熊奖,jinxiongjiang
金秀瑶族自治县,jinxiuyaozuzizhixian
金阳,jinyang
金羊毛,jinyangmao
金银,jinyin
金银岛,jinyindao
金银岛酒店,jinyindaojiudian
金银花,jinyinhua
金银块,jinyinkuai
金银丝,jinyinsi
金银丝细工,jinyinsixigong
金银线,jinyinxian
金鹰,jinying
金莺类,jinyinglei
金英日,jinyingri
金庸,jinyong
金永南,jinyongnan
金泳三,jinyongsan
金鱼,jinyu
金鱼缸,jinyugang
金鱼藻科,jinyuzaoke
金玉均,jinyujun
金玉满堂,jinyumantang
金岳霖,jinyuelin
金藻,jinzao
金藻门,jinzaomen
金泽市,jinzeshi
金寨,jinzhai
金盏草属植物,jinzhancaoshuzhiwu
金盏花,jinzhanhua
金盏花属,jinzhanhuashu
金盏菊属植物,jinzhanjushuzhiwu
金帐汗国,jinzhanghanguo
金针菜,jinzhencai
金针菇,jinzhengu
金正男,jinzhengnan
金正日,jinzhengri
金锺泌,jinzhongbi
金州区,jinzhouqu
金州勇士,jinzhouyongshi
金砖四国,jinzhuansiguo
金字塔,jinzita
金字塔形,jinzitaxing
金字形神塔,jinzixingshenta
金子,jinzi
金棕榈奖,jinzonglvjiang
仅,jin
仅此而已,jincieryi
仅仅,jinjin
仅仅地,jinjinde
仅是,jinshi
堇,jin
堇菜科,jincaike
堇菜目,jincaimu
墐,jin
尽管,jinguan
尽管如此,jinguanruci
尽管这样,jinguanzheyang
尽快,jinkuai
尽是,jinshi
廑,jin
槿,jin
瑾,jin
紧扣题目,jinkoutimu
紧,jin
紧挨着地奔跑,jinaizhuodibenpao
紧巴巴,jinbaba
紧抱,jinbao
紧凑,jincou
紧凑音频盒带,jincouyinpinhedai
紧定螺钉,jindingluoding
紧跟,jingen
紧急,jinji
紧集,jinji
紧急避孕药,jinjibiyunyao
紧急出口,jinjichukou
紧急处理,jinjichuli
紧急电话,jinjidianhua
紧急防卫,jinjifangwei
紧急关头,jinjiguantou
紧急会议,jinjihuiyi
紧急警报,jinjijingbao
紧急救护,jinjijiuhu
紧急情况,jinjiqingkuang
紧急申请,jinjishenqing
紧急事件,jinjishijian
紧急通知,jinjitongzhi
紧急要求,jinjiyaoqiu
紧急援助,jinjiyuanzhu
紧急制动,jinjizhidong
紧急状况,jinjizhuangkuang
紧急状态,jinjizhuangtai
紧急准备戒备,jinjizhunbeijiebei
紧记,jinji
紧接前,jinjieqian
紧接着,jinjiezhe
紧紧,jinjin
紧紧绑在一起,jinjinbangzaiyiqi
紧紧握住,jinjinwozhu
紧锣密鼓,jinluomigu
紧密,jinmi
紧密联系,jinmilianxi
紧密联系的群组,jinmilianxidequnzu
紧配合销,jinpeihexiao
紧配螺丝,jinpeiluosi
紧迫,jinpo
紧迫地,jinpode
紧迫性,jinpoxing
紧俏,jinqiao
紧缺,jinque
紧身,jinshen
紧身裤,jinshenku
紧身连衣裙,jinshenlianyiqun
紧身围腰,jinshenweiyao
紧身胸衣,jinshenxiongyi
紧身衣,jinshenyi
紧缩,jinsuo
紧缩的,jinsuodi
紧贴,jintie
紧握,jinwo
紧要,jinyao
紧张,jinzhang
紧张不安,jinzhangbuan
紧张的程度,jinzhangdechengdu
紧张关系,jinzhangguanxi
紧致性定理,jinzhixingdingli
谨,jin
谨记,jinji
谨慎,jinshen
谨慎处理,jinshenchuli
谨慎小心,jinshenxiaoxin
谨守,jinshou
锦,jin
锦标,jinbiao
锦标赛,jinbiaosai
锦缎,jinduan
锦鸡,jinji
锦葵科,jinkuike
锦葵目,jinkuimu
锦鲤,jinli
锦纶,jinlun
锦屏,jinping
锦西,jinxi
锦县,jinxian
锦绣,jinxiu
锦绣山河,jinxiushanhe
锦州,jinzhou
锦州市,jinzhoushi
劲,jin
劲度系数,jinduxishu
劲儿,jiner
劲量,jinliang
噤,jin
妗,jin
寖,jin
尽可能,jinkeneng
尽量,jinliang
尽,jin
尽可能,jinkeneng
尽快,jinkuai
尽力,jinli
尽力而为,jinlierwei
尽量,jinliang
尽人如意,jinrenruyi
尽善尽美,jinshanjinmei
尽头,jintou
尽早,jinzao
尽职,jinzhi
尽职调查,jinzhidiaocha
尽职尽责,jinzhijinze
尽忠报国,jinzhongbaoguo
尽最大的努力,jinzuidadenuli
搢,jin
晋,jin
晋安帝,jinandi
晋朝,jinchao
晋城,jincheng
晋废帝,jinfeidi
晋恭帝,jingongdi
晋怀帝,jinhuaidi
晋惠帝,jinhuidi
晋级,jinji
晋简文帝,jinjianwendi
晋江,jinjiang
晋江地区,jinjiangdiqu
晋愍帝,jinmindi
晋穆帝,jinmudi
晋宁,jinning
晋升,jinsheng
晋升体系,jinshengtixi
晋书,jinshu
晋文公,jinwengong
晋县,jinxian
晋孝武帝,jinxiaowudi
晋语,jinyu
晋元帝,jinyuandi
殣,jin
浸,jin
浸出,jinchu
浸没,jinmo
浸泡,jinpao
浸染,jinran
浸入,jinru
浸入水中,jinrushuizhong
浸软,jinruan
浸润,jinrun
浸湿,jinshi
浸蚀,jinshi
浸水,jinshui
浸透,jintou
浸信会,jinxinhui
浸信教徒,jinxinjiaotu
浸一下,jinyixia
浸油,jinyou
浸渍,jinzi
烬,jin
瑨,jin
禁,jin
禁闭,jinbi
禁飞区,jinfeiqu
禁锢,jingu
禁核条约,jinhetiaoyue
禁忌,jinji
禁忌搜索,jinjisousuo
禁忌征候,jinjizhenghou
禁忌症,jinjizheng
禁酒,jinjiu
禁酒令,jinjiuling
禁酒令时期,jinjiulingshiqi
禁酒主义者,jinjiuzhuyizhe
禁猎区,jinliequ
禁令,jinling
禁区,jinqu
禁入,jinru
禁赛,jinsai
禁食,jinshi
禁行,jinxing
禁烟,jinyan
禁烟运动,jinyanyundong
禁欲,jinyu
禁欲,jinyu
禁欲者,jinyuzhe
禁欲主义,jinyuzhuyi
禁运,jinyun
禁运品,jinyunpin
禁止,jinzhi
禁止车辆通行,jinzhicheliangtongxing
禁止带头巾,jinzhidaitoubu
禁止翻供,jinzhifangong
禁止公开集会,jinzhigongkaijihui
禁止核扩散条约,jinzhihekuosantiaoyue
禁止驾驶,jinzhijiashi
禁止进口,jinzhijinkou
禁止进入,jinzhijinru
禁止军火,jinzhijunhuo
禁止示威,jinzhishiwei
禁止停车,jinzhitingche
禁止通行,jinzhitongxing
禁止外出,jinzhiwaichu
禁止吸烟,jinzhixiyan
禁止吸烟的车厢,jinzhixiyandechexiang
禁止卸货,jinzhixiehuo
禁止性,jinzhixing
禁制,jinzhi
禁制令,jinzhiling
缙云,jinyun
荩,jin
近,jin
近岸海域,jinanhaiyu
近赤道,jinchidao
近处,jinchu
近代,jindai
近代史,jindaishi
近代英语,jindaiyingyu
近地轨道,jindeguidao
近地天体,jindetianti
近地小行星,jindexiaoxingxing
近地小行星追踪,jindexiaoxingxingzhuizong
近东,jindong
近光灯,jinguangdeng
近海,jinhai
近红外光分析仪,jinhongwaiguangfenxiyi
近乎,jinhu
近畿,jinji
近畿小子,jinjixiaozi
近几年,jinjinian
近几年来,jinjinianlai
近江国,jinjiangguo
近郊,jinjiao
近郊区,jinjiaoqu
近距离,jinjuli
近况,jinkuang
近来,jinlai
近邻,jinlin
近年,jinnian
近年来,jinnianlai
近迫武器系统,jinpowuqixitong
近期,jinqi
近亲繁殖,jinqinfanzhi
近亲交配,jinqinjiaopei
近亲相奸,jinqinxiangjian
近亲性交,jinqinxingjiao
近日,jinri
近日点,jinridian
近摄,jinshe
近视,jinshi
近视眼,jinshiyan
近似,jinsi
近似额,jinsie
近似于,jinsiyu
近似值,jinsizhi
近卫天皇,jinweitianhuang
近些年来,jinxienianlai
近因,jinyin
近在咫尺,jinzaizhichi
进,jin
进食,jinshi
进,jin
进步,jinbu
进步主义,jinbuzhuyi
进餐,jincan
进餐时间,jincanshijian
进场,jinchang
进城,jincheng
进程,jincheng
进程政策,jinchengzhengce
进出口,jinchukou
进出口贸易,jinchukoumaoyi
进出口银行,jinchukouyinhang
进动,jindong
进度,jindu
进度报告,jindubaogao
进发,jinfa
进犯,jinfan
进风管,jinfengguan
进港,jingang
进港结关,jingangjieguan
进给螺旋,jingeiluoxuan
进给箱,jingeixiang
进给轴,jingeizhou
进攻,jingong
进攻点,jingongdian
进攻性,jingongxing
进攻者,jingongzhe
进化,jinhua
进化阶段,jinhuajieduan
进化链,jinhualian
进化论,jinhualun
进化生物学,jinhuashengwuxue
进货,jinhuo
进货检验,jinhuojianyan
进给,jinji
进接,jinjie
进阶,jinjie
进军,jinjun
进军歌,jinjunge
进军罗马,jinjunluoma
进口,jinkou
进口公司,jinkougongsi
进口货,jinkouhuo
进口商,jinkoushang
进口商行,jinkoushangxing
进口许可,jinkouxuke
进口许可证,jinkouxukezheng
进口者,jinkouzhe
进来,jinlai
进料,jinliao
进料器,jinliaoqi
进气歧管,jinqiqiguan
进气弯管,jinqiwanguan
进取,jinqu
进取的女人,jinqudenvren
进去,jinqu
进入,jinru
进入大气层,jinrudaqiceng
进入退休年龄,jinrutuixiunianling
进入许可,jinruxuke
进入准备就绪,jinruzhunbeijiuxu
进退,jintui
进退两难,jintuiliangnan
进位制,jinweizhi
进袭,jinxi
进贤,jinxian
进行,jinxing
进行强化研究,jinxingqianghuayanjiu
进行授课,jinxingshouke
进行四则运算,jinxingsizeyunsuan
进行诉讼程序,jinxingsusongchengxu
进行探索,jinxingtansuo
进行通信,jinxingtongxin
进行投资,jinxingtouzi
进行下去,jinxingxiaqu
进行性交,jinxingxingjiao
进行哲学探讨,jinxingzhexuetantao
进行中,jinxingzhong
进修,jinxiu
进修活动,jinxiuhuodong
进修性休假,jinxiuxingxiujia
进一步,jinyibu
进展,jinzhan
进展报告,jinzhanbaogao
进站,jinzhan
进帐,jinzhang
进账,jinzhang
进纸,jinzhi
进驻,jinzhu
靳,jin
京,jing
京菜,jingcai
京城,jingcheng
京成电铁,jingchengdiantie
京瓷,jingci
京都,jingdu
京都不死鸟,jingdubusiniao
京都大学,jingdudaxue
京都府,jingdufu
京都后续协议,jingduhouxuxieyi
京都鹿苑寺,jingduluyuansi
京都市,jingdushi
京都议定书,jingduyidingshu
京都站,jingduzhan
京杭大运河,jinghangdayunhe
京畿道,jingjidao
京酱猪肉丝,jingjiangzhurousi
京剧,jingju
京那巴鲁山,jingnabalushan
京山,jingshan
京戏,jingxi
京相,jingxiang
京燕,jingyan
京族,jingzu
兢,jing
惊,jing
惊爆危机,jingbaoweiji
惊呆了,jingdaile
惊动,jingdong
惊愕,jinge
惊弓之鸟,jinggongzhiniao
惊怪,jingguai
惊骇,jinghai
惊呼,jinghu
惊慌,jinghuang
惊慌失措,jinghuangshicuo
惊恐,jingkong
惊奇,jingqi
惊奇漫画,jingqimanhua
惊人,jingren
惊叹,jingtan
惊天动地,jingtiandongdi
惊喜,jingxi
惊吓,jingxia
惊吓得,jingxiade
惊险刺激读物,jingxiancijiduwu
惊心动魄,jingxindongpo
惊醒,jingxing
惊讶,jingya
惊异,jingyi
惊蛰,jingzhi
旌,jing
旌德,jingde
旌旗,jingqi
晶,jing
晶洞,jingdong
晶格,jingge
晶光,jingguang
晶化,jinghua
晶亮,jingliang
晶片,jingpian
晶体,jingti
晶体管,jingtiguan
晶体管收音机,jingtiguanshouyinji
晶体结构,jingtijiegou
晶体学,jingtixue
晶体状,jingtizhuang
晶系,jingxi
晶莹,jingying
晶胀现象,jingzhangxianxiang
晶状,jingzhuang
晶状体,jingzhuangti
泾川,jingchuan
泾渭分明,jingweifenming
泾县,jingxian
泾阳,jingyang
泾源,jingyuan
睛,jing
精,jing
精氨酸,jingansuan
精兵强将,jingbingqiangjiang
精彩,jingcai
精彩表演,jingcaibiaoyan
精彩场面,jingcaichangmian
精彩电影节目,jingcaidianyingjiemu
精彩节目,jingcaijiemu
精查,jingcha
精虫,jingchong
精粹,jingcui
精打细算,jingdaxisuan
精读,jingdu
精度,jingdu
精度以微米计算的,jingduyiweimijisuande
精纺,jingfang
精干,jinggan
精耕细作,jinggengxizuo
精工,jinggong
精工的雅柏表,jinggongdeyabobiao
精光,jingguang
精河,jinghe
精华,jinghua
精华录,jinghualu
精简,jingjian
精简指令集,jingjianzhilingji
精矿,jingkuang
精力,jingli
精力充沛,jinglichongpei
精力充沛的人,jinglichongpeideren
精力过人的人,jingliguorenderen
精力旺盛,jingliwangsheng
精炼,jinglian
精练,jinglian
精炼厂,jinglianchang
精炼机,jinglianji
精炼业者,jinglianyezhe
精炼铀,jinglianyou
精灵,jingling
精灵宝钻,jinglingbaozuan
精灵国度,jinglingguodu
精灵皇,jinglinghuang
精灵似,jinglingsi
精灵语,jinglingyu
精馏,jingliu
精馏器,jingliuqi
精美,jingmei
精美的食品,jingmeideshipin
精美食品,jingmeishipin
精密,jingmi
精妙,jingmiao
精明,jingming
精明狡猾的人,jingmingjiaohuaderen
精囊,jingnang
精疲力竭,jingpilijie
精疲力尽,jingpilijin
精品,jingpin
精品服装店,jingpinfuzhuangdian
精巧,jingqiao
精确,jingque
精确地,jingquede
精确度,jingquedu
精确性,jingquexing
精确制导武器,jingquezhidaowuqi
精神,jingshen
精神崩溃,jingshenbengkui
精神变态者,jingshenbiantaizhe
精神病,jingshenbing
精神病患者,jingshenbinghuanzhe
精神病人,jingshenbingren
精神病学,jingshenbingxue
精神病学家,jingshenbingxuejia
精神病医生,jingshenbingyisheng
精神病医师,jingshenbingyishi
精神病医院,jingshenbingyiyuan
精神病院,jingshenbingyuan
精神病治疗法,jingshenbingzhiliaofa
精神不好,jingshenbuhao
精神不集中,jingshenbujizhong
精神错乱,jingshencuoluan
精神错乱收差,jingshencuoluanshoucha
精神分裂症,jingshenfenliezheng
精神分析,jingshenfenxi
精神分析学,jingshenfenxixue
精神分析医师,jingshenfenxiyishi
精神恍惚,jingshenhuanghu
精神疾病,jingshenjibing
精神奖励,jingshenjiangli
精神净化,jingshenjinghua
精神科,jingshenke
精神苦恼,jingshenkunao
精神力,jingshenli
精神疗法,jingshenliaofa
精神疗法家,jingshenliaofajia
精神疲惫,jingshenpibei
精神上,jingshenshang
精神上的事物,jingshenshangdeshiwu
精神失常,jingshenshichang
精神萎靡,jingshenweimi
精神卫生,jingshenweisheng
精神文明,jingshenwenming
精神性神经病,jingshenxingshenjingbing
精神性厌食症,jingshenxingyanshizheng
精神学,jingshenxue
精神学家,jingshenxuejia
精神压力,jingshenyali
精神药品,jingshenyaopin
精神药物,jingshenyaowu
精神异常,jingshenyichang
精神灾难,jingshenzainan
精神障碍,jingshenzhangai
精神折磨事件,jingshenzhemoshijian
精神哲学,jingshenzhexue
精神支柱,jingshenzhizhu
精神治疗医师,jingshenzhiliaoyishi
精神状态,jingshenzhuangtai
精梳,jingshu
精梳毛纺工程,jingshumaofanggongcheng
精算,jingsuan
精髓,jingsui
精索,jingsuo
精通,jingtong
精通数国语言,jingtongshuguoyuyan
精通于理论的人,jingtongyulilunderen
精卫,jingwei
精卫填海,jingweitianhai
精洗,jingxi
精细,jingxi
精细粉尘,jingxifenchen
精细过滤器,jingxiguolvqi
精细结构常数,jingxijiegouchangshu
精细显示,jingxixianshi
精心,jingxin
精心制作,jingxinzhizuo
精选,jingxuan
精选仪式,jingxuanyishi
精选品,jingxuanpin
精选区,jingxuanqu
精液,jingye
精英,jingying
精英队,jingyingdui
精英集团,jingyingjituan
精英研究顶尖研究,jingyingyanjiudingjianyanjiu
精英政治,jingyingzhengzhi
精英主义,jingyingzhuyi
精油,jingyou
精湛,jingzhan
精制,jingzhi
精致,jingzhi
精装,jingzhuang
精装版,jingzhuangban
精装本,jingzhuangben
精装书,jingzhuangshu
精壮,jingzhuang
精子,jingzi
精子库,jingziku
精子密度,jingzimidu
精子银行,jingziyinhang
經營期限,jingyingqixian
经,jing
经常,jingchang
经常项目,jingchangxiangmu
经常性地,jingchangxingde
经得起航海,jingdeqihanghai
经得起检验,jingdeqijianyan
经典,jingdian
经典伯爵茶,jingdianbojuecha
经典力学,jingdianlixue
经典逻辑,jingdianluoji
经典条件反射,jingdiantiaojianfanshe
经度,jingdu
经费,jingfei
经费来源,jingfeilaiyuan
经管人,jingguanren
经国号战机,jingguohaozhanji
经过,jingguo
经过多次磨练,jingguoduocimolian
经过改进的成果,jingguogaijindechengguo
经过功能检验,jingguogongnengjianyan
经过公证,jingguogongzheng
经过考虑,jingguokaolv
经过慎重考虑地,jingguoshenzhongkaolvde
经过研磨加工,jingguoyanmojiagong
经过仔细考虑,jingguozixikaolv
经合组织调研,jinghezuzhitiaoyan
经互会,jinghuhui
经济,jingji
经纪,jingji
经济比率,jingjibilv
经济部,jingjibu
经济部门,jingjibumen
经济部长,jingjibuzhang
经济大国,jingjidaguo
经济的发展,jingjidefazhan
经济地理,jingjidili
经济发展,jingjifazhan
经济发展过程,jingjifazhanguocheng
经济法律,jingjifalv
经济繁荣,jingjifanrong
经济犯罪,jingjifanzui
经济犯罪案件,jingjifanzuianjian
经济负担,jingjifudan
经济改革,jingjigaige
经济杠杆,jingjiganggan
经济工程师,jingjigongchengshi
经济管理,jingjiguanli
经济过热,jingjiguore
经济好转,jingjihaozhuan
经济合作发展组织,jingjihezuofazhanzuzhi
经济合作组织,jingjihezuozuzhi
经济互助委员会,jingjihuzhuweiyuanhui
经济环境,jingjihuanjing
经济恢复,jingjihuifu
经济基础,jingjijichu
经济机制,jingjijizhi
经济集团,jingjijituan
经济结构,jingjijiegou
经济科学,jingjikexue
经济可变性,jingjikebianxing
经济可采储量,jingjikecaichuliang
经济理论,jingjililun
经济联盟,jingjilianmeng
经济联系,jingjilianxi
经济情况,jingjiqingkuang
经济情况的研究,jingjiqingkuangdeyanjiu
经济区,jingjiqu
经济人,jingjiren
经纪人,jingjiren
经纪人的手续费,jingjirendeshouxufei
经济上,jingjishang
经济生活,jingjishenghuo
经济师,jingjishi
经济实惠,jingjishihui
经济实力,jingjishili
经济史,jingjishi
经济衰退,jingjishuaitui
经济特区,jingjitequ
经济体系,jingjitixi
经济体制,jingjitizhi
经济体制改革,jingjitizhigaige
经济条件,jingjitiaojian
经济外交,jingjiwaijiao
经济危机,jingjiweiji
经济效益,jingjixiaoyi
经济协定,jingjixieding
经济协会,jingjixiehui
经济信息学,jingjixinxixue
经济型扫描机,jingjixingsaomiaoji
经济形势,jingjixingshi
经济形势分析,jingjixingshifenxi
经济学,jingjixue
经济学家,jingjixuejia
经济学人,jingjixueren
经济学院,jingjixueyuan
经济学者,jingjixuezhe
经济循环,jingjixunhuan
经济研究,jingjiyanjiu
经济研究所,jingjiyanjiusuo
经纪业务,jingjiyewu
经济一体化,jingjiyitihua
经济因素,jingjiyinsu
经济有效,jingjiyouxiao
经济援助,jingjiyuanzhu
经济责任,jingjizeren
经济增长,jingjizengzhang
经济振兴,jingjizhenxing
经济政策,jingjizhengce
经济政治,jingjizhengzhi
经济指标,jingjizhibiao
经济制裁,jingjizhicai
经济制度,jingjizhidu
经济周期,jingjizhouqi
经济专科学院,jingjizhuankexueyuan
经济状况,jingjizhuangkuang
经济总量,jingjizongliang
经久,jingjiu
经久耐用,jingjiunaiyong
经络,jinglao
经理,jingli
经理部,jinglibu
经理人,jingliren
经理室,jinglishi
经理职责,jinglizhize
经历,jingli
经陆路,jinglulu
经纶,jinglun
经贸,jingmao
经密,jingmi
经逆时针转动,jingnishizhenzhuandong
经年累月,jingnianleiyue
经前紧张徵候群,jingqianjinzhangzhenghouqun
经认可,jingrenke
经商,jingshang
经手,jingshou
经手费,jingshoufei
经受,jingshou
经痛,jingtong
经纬,jingwei
经纬度,jingweidu
经纬汇合工程,jingweihuihegongcheng
经纬仪,jingweiyi
经文,jingwen
经线,jingxian
经销,jingxiao
经销部,jingxiaobu
经销处,jingxiaochu
经销联盟,jingxiaolianmeng
经销权所有者,jingxiaoquansuoyouzhe
经销商,jingxiaoshang
经验,jingyan
经验报告,jingyanbaogao
经验不够的人,jingyanbugouderen
经验法则,jingyanfaze
经验规律,jingyanguilv
经验交流,jingyanjiaoliu
经验数值,jingyanshuzhi
经验学习曲线,jingyanxuexiquxian
经验值,jingyanzhi
经验主义,jingyanzhuyi
经营,jingying
经营成本,jingyingchengben
经营风险,jingyingfengxian
经营管理,jingyingguanli
经营活动,jingyinghuodong
经营理念,jingyinglinian
经营目的,jingyingmudi
经营年度,jingyingniandu
经营情况,jingyingqingkuang
经营权,jingyingquan
经营森林,jingyingsenlin
经营所,jingyingsuo
经营责任,jingyingzeren
经营哲学,jingyingzhexue
经营者,jingyingzhe
经由,jingyou
经院哲学,jingyuanzhexue
经藏,jingzang
腈,jing
茎,jing
荆,jing
荆棘,jingji
荆轲,jingke
荆门,jingmen
荆门市,jingmenshi
荆州,jingzhou
菁,jing
菁菁,jingjing
青青,jingjing
鲸,jing
鲸歌,jingge
鲸骨,jinggu
鲸类,jinglei
鲸目,jingmu
鲸鲨,jingsha
鲸鲨科,jingshake
鲸虱,jingshi
鲸油加工船,jingyoujiagongchuan
鲸鱼,jingyu
鲸鱼爆炸,jingyubaozha
鲸鱼座,jingyuzuo
丼,jing
井,jing
井底,jingdi
井冈山,jinggangshan
井号,jinghao
井架,jingjia
井口上的铁架塔,jingkoushangdetiejiata
井上,jingshang
井上雄彦,jingshangxiongyan
井上瑶,jingshangyao
井上圆了,jingshangyuanliao
井水,jingshui
井宿四,jingsusi
井下,jingxia
井下事故,jingxiashigu
井陉,jingxing
井陉矿区,jingxingkuangqu
井研,jingyan
井伊直弼,jingyizhibi
井字过三关,jingziguosanguan
儆,jing
憬,jing
景,jing
景德王,jingdewang
景德镇,jingdezhen
景德镇市,jingdezhenshi
景点,jingdian
景东,jingdong
景谷,jinggu
景观,jingguan
景观建筑,jingguanjianzhu
景观设计,jingguansheji
景观生态学,jingguanshengtaixue
景行天皇,jinghangtianhuang
景洪,jinghong
景洪市,jinghongshi
